week,material_id,material_desc,material_group_id,material_group_desc,abcd,reqs,inventory_ultimo,moq
28,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
29,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
30,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
31,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-116800,400000
32,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,600000,-716800,400000
33,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-716800,400000
34,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-716800,400000
35,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-716800,400000
36,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-716800,400000
37,M51226330,"CAN LOWB WEISS INT 0,5L S_AL 0050A '18",MG2030201,ALU NON-EMBOSSED CAN,C,0,-716800,400000
8,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,77580,121000
9,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,77580,121000
10,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,77580,121000
11,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,77580,121000
12,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,77580,121000
13,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,181500,-103920,121000
14,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-103920,121000
